worker,ep,total_ep,rank,score,surv,eps,step,buf,reason,elapsed_s
0,1,500,3,559.5,295,0.05,96339,296,max_ticks,0.4
0,2,500,3,224.9,199,0.05,96339,496,last_standing,0.8
0,3,500,2,140.4,154,0.05,96492,651,last_standing,1.1
0,4,500,2,446.4,314,0.05,96808,966,last_standing,4.6
0,5,500,3,243.9,239,0.05,97049,1206,last_standing,5.1
0,6,500,2,477.0,320,0.05,97370,1526,last_standing,5.5
0,7,500,2,268.0,230,0.05,97602,1757,last_standing,6.3
0,8,500,3,428.2,332,0.05,97936,2090,last_standing,7.4
0,9,500,1,670.7,382,0.05,98319,2472,last_standing,9.9
0,10,500,2,669.5,345,0.05,98665,2817,last_standing,11.0
0,11,500,2,665.0,400,0.05,99066,3217,max_ticks,12.6
0,12,500,3,149.3,193,0.05,99261,3411,last_standing,13.3
0,13,500,3,282.4,274,0.05,99537,3686,last_standing,13.8
0,14,500,2,231.3,213,0.05,99752,3900,last_standing,15.9
0,15,500,2,232.3,223,0.05,99977,4124,last_standing,16.3
0,16,500,2,650.0,400,0.05,100378,4524,max_ticks,16.9
0,17,500,5,130.4,104,0.05,100484,4629,max_ticks,17.2
0,18,500,3,193.3,33,0.05,100519,4663,last_standing,17.5
0,19,500,4,144.7,197,0.05,100718,4861,max_ticks,19.5
0,20,500,2,740.0,400,0.05,101119,5261,max_ticks,20.2
0,21,500,2,305.9,259,0.05,101380,5521,last_standing,20.6
0,22,500,3,505.6,306,0.05,101688,5828,max_ticks,21.1
0,23,500,3,339.9,299,0.05,101989,6128,last_standing,21.5
0,24,500,2,850.0,400,0.05,102390,6528,max_ticks,22.8
0,25,500,3,289.3,243,0.05,102635,6772,max_ticks,23.2
0,26,500,3,452.6,101,0.05,102738,6874,max_ticks,23.5
0,27,500,3,211.5,215,0.05,102955,7090,last_standing,23.9
0,28,500,2,537.4,374,0.05,103331,7465,last_standing,24.5
0,29,500,2,640.0,400,0.05,103732,7865,max_ticks,26.9
0,30,500,3,210.3,203,0.05,103937,8069,max_ticks,27.3
0,31,500,2,695.0,400,0.05,104338,8469,max_ticks,28.0
0,32,500,3,284.4,144,0.05,104484,8614,last_standing,28.3
0,33,500,2,740.0,400,0.05,104885,9014,max_ticks,29.0
0,34,500,3,301.7,267,0.05,105154,9282,last_standing,31.3
0,35,500,3,107.5,175,0.05,105331,9458,last_standing,31.7
0,36,500,2,274.1,241,0.05,105574,9700,last_standing,32.3
0,37,500,3,177.4,74,0.05,105650,9775,last_standing,32.5
0,38,500,2,825.0,400,0.05,106051,10000,max_ticks,33.2
0,39,500,3,212.8,228,0.05,106281,10000,max_ticks,35.9
0,40,500,3,337.6,276,0.05,106559,10000,last_standing,36.2
0,41,500,1,928.9,389,0.05,106949,10000,last_standing,36.6
0,42,500,4,106.5,165,0.05,107116,10000,last_standing,36.8
0,43,500,2,283.4,234,0.05,107352,10000,last_standing,37.1
0,44,500,2,559.8,248,0.05,107602,10000,max_ticks,39.4
0,45,500,2,237.6,226,0.05,107830,10000,last_standing,39.6
0,46,500,3,165.1,201,0.05,108033,10000,last_standing,39.9
0,47,500,4,154.7,47,0.05,108082,10000,last_standing,40.0
0,48,500,2,442.8,328,0.05,108412,10000,last_standing,40.3
0,49,500,5,208.8,88,0.05,108502,10000,last_standing,42.2
0,50,500,3,307.9,279,0.05,108783,10000,max_ticks,42.6
0,51,500,2,502.7,377,0.05,109162,10000,last_standing,43.0
0,52,500,4,164.0,190,0.05,109354,10000,max_ticks,43.3
0,53,500,1,806.6,366,0.05,109721,10000,last_standing,43.6
0,54,500,3,147.8,178,0.05,109901,10000,last_standing,45.6
0,55,500,3,353.6,136,0.05,110039,10000,last_standing,45.8
0,56,500,2,760.0,400,0.05,110440,10000,max_ticks,46.2
0,57,500,4,124.2,42,0.05,110484,10000,last_standing,46.3
0,58,500,4,87.4,174,0.05,110660,10000,max_ticks,46.5
0,59,500,2,301.0,260,0.05,110922,10000,last_standing,48.5
0,60,500,3,324.8,298,0.05,111222,10000,max_ticks,49.1
0,61,500,2,369.5,295,0.05,111519,10000,last_standing,49.5
0,62,500,2,316.4,264,0.05,111785,10000,last_standing,49.8
0,63,500,2,247.0,220,0.05,112007,10000,last_standing,50.0
0,64,500,2,224.0,240,0.05,112249,10000,last_standing,52.0
0,65,500,3,308.6,286,0.05,112537,10000,last_standing,52.5
0,66,500,2,432.5,175,0.05,112714,10000,last_standing,52.8
0,67,500,3,382.1,271,0.05,112987,10000,last_standing,53.3
0,68,500,2,369.8,298,0.05,113287,10000,last_standing,53.7
0,69,500,4,118.7,187,0.05,113476,10000,last_standing,55.7
0,70,500,2,274.2,242,0.05,113720,10000,last_standing,56.1
0,71,500,2,284.3,243,0.05,113965,10000,last_standing,56.6
0,72,500,1,690.0,400,0.05,114366,10000,max_ticks,57.3
0,73,500,2,570.0,400,0.05,114767,10000,max_ticks,57.8
0,74,500,3,298.1,281,0.05,115050,10000,last_standing,59.9
0,75,500,4,91.3,163,0.05,115215,10000,last_standing,60.2
0,76,500,2,363.8,288,0.05,115505,10000,last_standing,60.7
0,77,500,4,129.1,191,0.05,115698,10000,last_standing,61.1
0,78,500,1,865.0,400,0.05,116099,10000,max_ticks,61.7
0,79,500,3,702.7,377,0.05,116478,10000,max_ticks,64.1
0,80,500,5,131.8,68,0.05,116548,10000,last_standing,64.5
0,81,500,1,917.2,322,0.05,116871,10000,last_standing,65.0
0,82,500,2,193.1,231,0.05,117104,10000,last_standing,65.4
0,83,500,3,206.1,211,0.05,117317,10000,last_standing,65.8
0,84,500,3,385.1,351,0.05,117670,10000,last_standing,68.1
