worker,ep,total_ep,rank,score,surv,eps,step,buf,reason,elapsed_s
0,1,300,3,716.8,268,0.05,265847,269,max_ticks,0.3
0,2,300,1,555.2,302,0.05,265920,571,last_standing,0.6
0,3,300,2,608.6,386,0.05,266308,958,last_standing,1.2
0,4,300,1,745.0,400,0.05,266709,1358,max_ticks,1.9
0,5,300,3,377.3,273,0.05,266984,1632,last_standing,4.3
0,6,300,2,284.3,243,0.05,267229,1876,last_standing,4.6
0,7,300,2,508.5,385,0.05,267616,2262,last_standing,4.9
0,8,300,1,1060.0,400,0.05,268017,2662,max_ticks,5.3
0,9,300,5,90.4,154,0.05,268173,2817,last_standing,5.5
0,10,300,2,658.1,381,0.05,268555,3198,last_standing,7.7
0,11,300,2,142.4,174,0.05,268731,3373,last_standing,7.9
0,12,300,1,730.0,400,0.05,269132,3773,max_ticks,8.3
0,13,300,1,620.0,300,0.05,269433,4073,last_standing,8.6
0,14,300,1,654.6,296,0.05,269730,4369,last_standing,8.9
0,15,300,3,221.4,164,0.05,269896,4534,max_ticks,10.8
0,16,300,2,264.5,245,0.05,270143,4780,last_standing,11.1
0,17,300,3,403.8,338,0.05,270483,5119,max_ticks,11.4
0,18,300,2,511.5,315,0.05,270800,5435,last_standing,11.8
0,19,300,3,224.2,242,0.05,271044,5678,last_standing,12.0
0,20,300,3,235.0,250,0.05,271296,5929,last_standing,14.0
0,21,300,2,234.4,244,0.05,271542,6174,last_standing,14.3
0,22,300,3,335.3,253,0.05,271797,6428,max_ticks,14.6
0,23,300,2,424.1,341,0.05,272140,6770,last_standing,15.0
0,24,300,2,549.6,396,0.05,272538,7167,last_standing,15.4
0,25,300,3,533.9,389,0.05,272929,7557,max_ticks,17.6
0,26,300,1,725.6,256,0.05,273186,7813,last_standing,17.9
0,27,300,2,700.0,400,0.05,273587,8213,max_ticks,18.3
0,28,300,2,340.8,108,0.05,273697,8322,last_standing,18.5
0,29,300,2,440.6,331,0.05,274030,8654,last_standing,18.8
0,30,300,3,269.1,241,0.05,274273,8896,max_ticks,20.8
0,31,300,3,269.7,297,0.05,274572,9194,max_ticks,21.2
0,32,300,2,428.7,337,0.05,274911,9532,last_standing,21.5
0,33,300,2,860.0,400,0.05,275312,9932,max_ticks,22.0
0,34,300,3,338.7,287,0.05,275601,10000,last_standing,22.3
0,35,300,1,418.1,281,0.05,275883,10000,last_standing,24.4
