worker,ep,total_ep,rank,score,win_rate_pct,eps,step,elapsed_s,scenario
0,1,100,1,548.8,100,0.175,60974,0.0,
0,2,100,4,173.0,50,0.174,60974,1.0,
0,3,100,2,217.7,33,0.172,60974,1.0,
0,4,100,4,234.1,25,0.171,60990,2.0,
0,5,100,2,213.4,20,0.169,61226,3.0,
0,6,100,3,140.4,17,0.168,61432,4.0,
0,7,100,3,340.8,14,0.167,61742,6.0,
0,8,100,3,383.5,12,0.165,62079,11.0,
0,9,100,3,176.9,11,0.164,62300,12.0,
0,10,100,3,47.7,10,0.163,62329,14.0,
0,11,100,2,336.2,9,0.161,62643,17.0,
0,12,100,4,163.0,8,0.16,62875,19.0,
0,13,100,2,234.9,8,0.159,63126,20.0,
0,14,100,5,56.3,7,0.158,63291,21.0,
0,15,100,2,610.0,7,0.156,63692,28.0,
0,16,100,3,189.6,6,0.155,63940,29.0,
0,17,100,4,172.0,6,0.154,64162,30.0,
0,18,100,2,359.8,6,0.153,64512,31.0,
0,19,100,2,175.8,5,0.151,64722,33.0,
0,20,100,3,183.4,5,0.15,64958,34.0,
0,21,100,3,213.4,5,0.149,65194,35.0,
0,22,100,2,318.0,5,0.148,65476,40.0,
0,23,100,4,84.2,4,0.147,65670,42.0,
0,24,100,3,127.5,4,0.145,65747,42.0,
0,25,100,3,102.9,4,0.144,65928,43.0,
0,26,100,2,650.0,4,0.143,66329,45.0,
0,27,100,3,93.1,4,0.142,66512,46.0,
0,28,100,5,125.6,4,0.141,66720,47.0,
0,29,100,4,156.0,3,0.14,66932,48.0,
0,30,100,2,96.1,3,0.139,67095,52.0,
0,31,100,2,217.4,3,0.138,67321,53.0,
0,32,100,3,103.0,3,0.136,67403,53.0,
0,33,100,4,134.3,3,0.135,67598,56.0,
0,34,100,3,171.5,3,0.134,67815,57.0,
0,35,100,3,305.0,3,0.133,68067,59.0,
0,36,100,5,24.7,3,0.132,68216,59.0,
0,37,100,3,138.0,3,0.131,68398,60.0,
0,38,100,3,112.4,3,0.13,68574,61.0,
0,39,100,5,60.4,3,0.129,68730,62.0,
0,40,100,2,112.0,2,0.128,68902,63.0,
0,41,100,3,109.0,2,0.127,69094,64.0,
0,42,100,3,176.4,2,0.126,69310,65.0,
0,43,100,2,595.0,2,0.125,69711,68.0,
0,44,100,3,214.8,2,0.124,69961,71.0,
0,45,100,2,208.3,2,0.123,70196,77.0,
0,46,100,3,157.0,2,0.122,70418,84.0,
0,47,100,2,209.2,2,0.121,70662,91.0,
0,48,100,4,114.0,2,0.12,70854,97.0,
0,49,100,3,326.5,2,0.119,71171,100.0,
0,50,100,2,367.0,2,0.118,71443,102.0,
0,51,100,2,289.0,2,0.117,71735,103.0,
0,52,100,3,167.7,2,0.116,71964,105.0,
0,53,100,2,285.9,2,0.115,72225,106.0,
0,54,100,4,58.7,2,0.114,72314,106.0,
0,55,100,2,204.0,2,0.113,72556,109.0,
0,56,100,3,317.0,2,0.113,72878,111.0,
0,57,100,3,236.4,2,0.112,73144,113.0,
0,58,100,3,277.6,2,0.111,73422,122.0,
2,1,100,1,360.6,100,0.174,60974,0.0,
2,2,100,4,98.5,50,0.172,60974,0.0,
2,3,100,3,171.5,33,0.171,60974,1.0,
2,4,100,1,412.4,50,0.169,60974,1.0,
2,5,100,3,431.4,40,0.168,61223,5.0,
2,6,100,1,372.4,50,0.167,61498,6.0,
2,7,100,3,280.4,43,0.165,61804,7.0,
2,8,100,2,199.0,38,0.164,62046,9.0,
2,9,100,3,349.2,33,0.163,62390,12.0,
2,10,100,2,570.0,30,0.161,62791,13.0,
2,11,100,2,660.0,27,0.16,63192,16.0,
2,12,100,3,130.6,25,0.159,63400,17.0,
2,13,100,3,380.6,23,0.158,63758,25.0,
2,14,100,1,275.9,29,0.156,63968,27.0,
2,15,100,2,268.5,27,0.155,64255,35.0,
2,16,100,1,600.2,31,0.154,64458,36.0,
2,17,100,5,72.7,29,0.153,64487,36.0,
2,18,100,1,455.7,33,0.151,64695,37.0,
2,19,100,1,630.0,37,0.15,65096,39.0,
2,20,100,4,83.0,35,0.149,65128,39.0,
2,21,100,3,433.9,33,0.148,65519,44.0,
2,22,100,2,137.6,32,0.147,65697,47.0,
2,23,100,3,173.3,30,0.145,65932,49.0,
2,24,100,3,195.4,29,0.144,66138,50.0,
2,25,100,3,379.5,28,0.143,66435,52.0,
2,26,100,3,139.4,27,0.142,66581,56.0,
2,27,100,2,382.8,26,0.141,66911,65.0,
2,28,100,2,281.1,25,0.14,67174,69.0,
2,29,100,4,121.0,24,0.139,67386,74.0,
2,30,100,3,183.3,23,0.138,67471,77.0,
2,31,100,3,226.3,23,0.136,67736,83.0,
2,32,100,2,393.9,22,0.135,68077,85.0,
2,33,100,2,218.4,21,0.134,68313,86.0,
2,34,100,1,323.0,24,0.133,68494,87.0,
2,35,100,5,88.7,23,0.132,68583,87.0,
2,36,100,3,189.1,22,0.131,68726,88.0,
2,37,100,2,187.6,22,0.13,68954,89.0,
2,38,100,4,385.1,21,0.129,69307,91.0,
2,39,100,4,158.5,21,0.128,69544,100.0,
2,40,100,1,162.7,22,0.127,69573,100.0,
2,41,100,3,321.1,22,0.126,69886,106.0,
2,42,100,1,172.5,24,0.125,70012,106.0,
2,43,100,5,70.5,23,0.124,70069,107.0,
2,44,100,2,197.6,23,0.123,70297,110.0,
2,45,100,3,139.1,22,0.122,70490,112.0,
2,46,100,1,504.1,24,0.121,70832,113.0,
2,47,100,2,621.0,23,0.12,71194,115.0,
2,48,100,3,150.0,23,0.119,71396,116.0,
2,49,100,3,151.8,22,0.118,71616,117.0,
2,50,100,3,251.0,22,0.117,71878,118.0,
2,51,100,5,83.5,22,0.116,72065,119.0,
2,52,100,4,258.7,21,0.115,72354,120.0,
2,53,100,2,246.9,21,0.114,72625,121.0,
2,54,100,3,224.9,20,0.113,72876,128.0,
2,55,100,5,31.9,20,0.113,72897,128.0,
2,56,100,3,315.4,20,0.112,73203,139.0,
2,57,100,4,119.1,19,0.111,73396,146.0,
1,1,100,3,104.0,0,0.175,60974,0.0,
1,2,100,3,214.2,0,0.174,60974,1.0,
1,3,100,2,197.8,0,0.172,60974,1.0,
1,4,100,5,176.2,0,0.171,60974,2.0,
1,5,100,2,395.2,0,0.169,61105,6.0,
1,6,100,2,460.2,0,0.168,61484,13.0,
1,7,100,2,225.7,0,0.167,61743,19.0,
1,8,100,4,217.7,0,0.165,61922,21.0,
1,9,100,3,151.3,0,0.164,62137,23.0,
1,10,100,2,273.2,0,0.163,62421,24.0,
1,11,100,5,83.7,0,0.161,62610,25.0,
1,12,100,4,126.6,0,0.16,62828,26.0,
1,13,100,2,217.8,0,0.159,63058,27.0,
1,14,100,3,239.4,0,0.158,63304,35.0,
1,15,100,2,551.8,0,0.156,63674,45.0,
1,16,100,3,138.6,0,0.155,63862,50.0,
1,17,100,2,180.7,0,0.154,64071,53.0,
1,18,100,3,156.9,0,0.153,64292,54.0,
1,19,100,2,276.8,0,0.151,64562,56.0,
1,20,100,1,416.5,5,0.15,64678,57.0,
1,21,100,1,234.2,10,0.149,64871,62.0,
1,22,100,2,224.3,9,0.148,65116,67.0,
1,23,100,1,230.7,13,0.147,65324,68.0,
1,24,100,3,110.4,12,0.145,65530,69.0,
1,25,100,4,84.0,12,0.144,65722,71.0,
1,26,100,1,926.2,15,0.143,66086,73.0,
1,27,100,3,429.1,15,0.142,66479,74.0,
1,28,100,1,337.5,18,0.141,66755,75.0,
1,29,100,2,282.9,17,0.14,67036,77.0,
1,30,100,2,483.3,17,0.139,67371,79.0,
1,31,100,3,252.3,16,0.138,67646,80.0,
1,32,100,4,306.6,16,0.136,67964,81.0,
1,33,100,2,259.1,15,0.135,68207,82.0,
1,34,100,4,188.4,15,0.134,68493,84.0,
1,35,100,3,274.3,14,0.133,68788,92.0,
1,36,100,3,293.7,14,0.132,69077,93.0,
1,37,100,3,258.5,14,0.131,69364,94.0,
1,38,100,1,365.5,16,0.13,69670,95.0,
1,39,100,2,575.0,15,0.129,70071,97.0,
1,40,100,3,113.0,15,0.128,70253,98.0,
1,41,100,3,195.9,15,0.127,70564,100.0,
1,42,100,3,177.6,14,0.126,70792,104.0,
1,43,100,4,85.5,14,0.125,70999,109.0,
