worker,ep,total_ep,scenario,rank,score,win_rate_pct,eps,step,elapsed_s
2,1,100,boss_mode_trio,3,306.1,0,0.078,86380,1.0
2,2,100,boss_mode_trio,3,286.5,0,0.078,86380,2.0
2,3,100,pfsp,2,150.2,0,0.077,86380,2.0
2,4,100,boss_mode_trio,4,122.4,0,0.077,86488,5.0
2,5,100,pfsp,2,463.9,0,0.076,86879,7.0
2,6,100,boss_mode_trio,2,380.1,0,0.075,87232,8.0
2,7,100,boss_mode_solo,2,191.6,0,0.075,87450,10.0
2,8,100,pfsp,2,245.9,0,0.074,87661,14.0
2,9,100,pfsp,4,307.0,0,0.074,87983,20.0
2,10,100,pure_rule,2,291.1,0,0.073,88246,23.0
2,11,100,boss_mode_trio,4,84.4,0,0.072,88417,26.0
2,12,100,boss_mode_trio,3,306.2,0,0.072,88731,27.0
2,13,100,boss_mode_solo,1,670.0,8,0.071,89132,31.0
2,14,100,boss_mode_solo,2,378.8,7,0.071,89472,39.0
2,15,100,boss_mode_trio,4,57.8,7,0.07,89652,44.0
2,16,100,boss_mode_solo,2,251.4,6,0.069,89918,45.0
2,17,100,boss_mode_trio,4,303.0,6,0.069,90200,47.0
2,18,100,pfsp,2,343.8,6,0.068,90540,48.0
2,19,100,boss_mode_solo,2,309.4,5,0.068,90836,49.0
2,20,100,pure_rule,1,384.8,10,0.067,91085,51.0
2,21,100,boss_mode_solo,2,249.1,10,0.067,91177,51.0
2,22,100,pfsp,1,526.1,14,0.066,91489,52.0
2,23,100,pfsp,1,309.9,17,0.066,91739,53.0
2,24,100,pfsp,2,207.0,17,0.065,91961,56.0
2,25,100,boss_mode_solo,2,209.0,16,0.065,92203,61.0
2,26,100,boss_mode_solo,1,181.9,19,0.064,92424,66.0
2,27,100,pfsp,2,381.2,19,0.064,92738,67.0
2,28,100,boss_mode_trio,4,168.9,18,0.063,92979,68.0
2,29,100,boss_mode_trio,4,162.9,17,0.063,93160,69.0
2,30,100,pure_rule,3,69.2,17,0.062,93204,71.0
2,31,100,boss_mode_trio,3,121.3,16,0.062,93419,75.0
2,32,100,boss_mode_trio,3,153.8,16,0.061,93609,76.0
2,33,100,boss_mode_solo,1,595.0,18,0.061,94010,77.0
2,34,100,boss_mode_solo,2,220.4,18,0.06,94266,78.0
2,35,100,boss_mode_solo,2,151.7,17,0.06,94485,79.0
2,36,100,boss_mode_trio,4,222.3,17,0.059,94760,80.0
2,37,100,pfsp,3,109.3,16,0.059,94955,81.0
2,38,100,boss_mode_solo,2,189.0,16,0.058,95197,82.0
2,39,100,boss_mode_trio,4,226.0,15,0.058,95459,84.0
2,40,100,pure_rule,2,198.4,15,0.057,95695,88.0
2,41,100,boss_mode_trio,4,257.3,15,0.057,96020,90.0
2,42,100,pfsp,3,284.5,14,0.056,96317,93.0
2,43,100,pfsp,3,101.6,14,0.056,96535,94.0
2,44,100,pfsp,2,250.5,14,0.055,96792,95.0
2,45,100,boss_mode_trio,4,265.4,13,0.055,97098,96.0
2,46,100,boss_mode_solo,2,134.3,13,0.055,97293,97.0
2,47,100,pfsp,4,250.1,13,0.054,97596,98.0
2,48,100,pfsp,3,129.7,12,0.054,97795,99.0
2,49,100,pfsp,3,450.5,12,0.053,98152,101.0
2,50,100,pure_rule,2,231.9,12,0.053,98423,102.0
2,51,100,pfsp,2,217.1,12,0.052,98646,103.0
2,52,100,pfsp,2,250.6,12,0.052,98904,104.0
2,53,100,boss_mode_trio,3,220.2,11,0.052,99158,105.0
2,54,100,boss_mode_solo,2,124.0,11,0.051,99350,106.0
2,55,100,boss_mode_solo,2,269.1,11,0.051,99643,107.0
2,56,100,boss_mode_trio,3,72.9,11,0.05,99824,108.0
2,57,100,pfsp,4,258.0,11,0.05,100106,109.0
2,58,100,boss_mode_trio,3,82.4,10,0.05,100282,110.0
2,59,100,pfsp,4,125.0,10,0.05,100484,111.0
2,60,100,pure_rule,3,180.1,10,0.05,100687,111.0
2,61,100,boss_mode_trio,4,230.6,10,0.05,100945,112.0
2,62,100,pfsp,3,591.1,10,0.05,101308,117.0
2,63,100,pfsp,3,173.0,10,0.05,101540,118.0
0,1,100,pfsp,1,647.6,100,0.078,86380,0.0
0,2,100,pfsp,1,434.6,100,0.078,86380,0.0
0,3,100,boss_mode_solo,2,525.0,67,0.077,86454,1.0
0,4,100,boss_mode_solo,2,261.1,50,0.077,86717,2.0
0,5,100,pfsp,3,241.0,40,0.076,86979,3.0
0,6,100,pfsp,2,154.3,33,0.075,87174,5.0
0,7,100,pfsp,3,149.6,29,0.075,87372,8.0
0,8,100,boss_mode_trio,4,214.4,25,0.074,87618,13.0
0,9,100,pfsp,3,132.3,22,0.074,87793,15.0
0,10,100,pure_rule,3,142.4,20,0.073,87819,15.0
0,11,100,boss_mode_solo,2,175.6,18,0.072,88027,16.0
0,12,100,pfsp,4,373.4,17,0.072,88363,18.0
0,13,100,pfsp,5,168.3,15,0.071,88598,19.0
0,14,100,boss_mode_trio,1,750.0,21,0.071,88999,21.0
0,15,100,boss_mode_trio,4,110.8,20,0.07,89209,22.0
0,16,100,pfsp,4,106.3,19,0.069,89424,24.0
0,17,100,boss_mode_solo,2,355.9,18,0.069,89735,25.0
0,18,100,boss_mode_trio,4,99.8,17,0.068,89910,29.0
0,19,100,boss_mode_trio,4,100.9,16,0.068,90121,30.0
0,20,100,pure_rule,3,188.2,15,0.067,90355,31.0
0,21,100,pfsp,1,195.9,19,0.067,90565,32.0
0,22,100,pfsp,3,136.6,18,0.066,90783,33.0
0,23,100,pfsp,2,230.5,17,0.066,91040,34.0
0,24,100,boss_mode_trio,4,87.4,17,0.065,91266,35.0
0,25,100,boss_mode_trio,3,590.0,16,0.065,91667,37.0
0,26,100,pfsp,2,345.6,15,0.064,91975,38.0
0,27,100,pfsp,1,433.3,19,0.064,92259,41.0
